stock,CMSY,mPRM,COMSIR,SSCOM,ensemble_method,ensemble
"Atlantic, Antarctic Patagonian toothfish",0.58,1.23,1.61,1.45,full_ensemble,0.78
"Atlantic, Eastern Central African sicklefish",0.9,0.94,1.21,1.74,full_ensemble,0.91
"Atlantic, Eastern Central Albacore",0.33,0.55,0.15,1.48,full_ensemble,0.49
"Atlantic, Eastern Central Angola dentex",0.73,0.9,1.94,1.45,full_ensemble,1.23
"Atlantic, Eastern Central Atlantic blue marlin",1.24,1.26,1.57,1.65,full_ensemble,1.31
"Atlantic, Eastern Central Atlantic bonito",1.42,1.2,1.19,1.51,full_ensemble,0.97
"Atlantic, Eastern Central Atlantic bumper",1.11,1.32,1.61,1.56,full_ensemble,0.88
"Atlantic, Eastern Central Atlantic horse mackerel",0.27,0.52,0.01,1.65,full_ensemble,0.64
"Atlantic, Eastern Central Atlantic sailfish",0.57,0.76,1.04,1.54,full_ensemble,1.11
"Atlantic, Eastern Central Bearded brotula",1.34,1.43,1.29,1.5,full_ensemble,1.21
"Atlantic, Eastern Central Bigeye grunt",1.25,1.03,1.47,1.41,full_ensemble,1.21
"Atlantic, Eastern Central Bigeye tuna",1.02,1.07,1.48,1.29,full_ensemble,0.89
"Atlantic, Eastern Central Black scabbardfish",0.47,1.07,1.25,1.32,full_ensemble,0.92
"Atlantic, Eastern Central Black seabream",1.45,0.71,1.51,1.48,full_ensemble,0.91
"Atlantic, Eastern Central Blue butterfish",1.09,1.35,0.7,1.6,full_ensemble,1.35
"Atlantic, Eastern Central Bobo croaker",1.14,1.16,1.49,1.29,full_ensemble,0.98
"Atlantic, Eastern Central Boe drum",0.65,0.61,1.23,1.47,full_ensemble,0.99
"Atlantic, Eastern Central Bogue",1.01,1.22,1.98,1.73,full_ensemble,1.47
"Atlantic, Eastern Central Bonga shad",1.16,1.57,1.7,1.66,full_ensemble,1.22
"Atlantic, Eastern Central Cassava croaker",1.18,1.12,0.85,1.39,full_ensemble,1.34
"Atlantic, Eastern Central Chub mackerel",1.16,0.97,1.12,1.13,full_ensemble,1.13
"Atlantic, Eastern Central Common dentex",0.36,0.36,0.05,0.75,full_ensemble,1.54
"Atlantic, Eastern Central Common octopus",0.33,1.12,0.05,1.27,full_ensemble,0.82
"Atlantic, Eastern Central Common pandora",0.35,0.41,0.03,1.07,full_ensemble,0.72
"Atlantic, Eastern Central Common sole",0.51,0.5,1.3,1.32,full_ensemble,0.92
"Atlantic, Eastern Central Crevalle jack",0.89,0.76,1.18,1.6,full_ensemble,1
"Atlantic, Eastern Central Deepwater rose shrimp",0.3,0.35,0,0.8,full_ensemble,1.03
"Atlantic, Eastern Central European anchovy",0.52,0.71,0.94,1.29,full_ensemble,1.13
"Atlantic, Eastern Central European conger",0.92,1.52,1.39,1.21,full_ensemble,1.16
"Atlantic, Eastern Central European hake",0.6,0.55,1.52,1.37,full_ensemble,0.87
"Atlantic, Eastern Central False scad",0.3,0.53,1.11,1.18,full_ensemble,0.95
"Atlantic, Eastern Central Frigate tuna",0.34,0.62,0.31,1.22,full_ensemble,0.5
"Atlantic, Eastern Central Giant African threadfin",1.16,1.21,1.95,1.29,full_ensemble,1.05
"Atlantic, Eastern Central Large-eye dentex",0.32,0.46,0.11,1.7,full_ensemble,0.43
"Atlantic, Eastern Central Largehead hairtail",0.37,0.98,1.15,1.56,full_ensemble,0.84
"Atlantic, Eastern Central Leerfish",0.38,0.56,0.35,1.25,full_ensemble,0.48
"Atlantic, Eastern Central Lesser African threadfin",1.14,1.3,1.46,1.43,full_ensemble,1
"Atlantic, Eastern Central Little tunny",1.28,0.81,1.07,1.29,full_ensemble,1.1
"Atlantic, Eastern Central Madeiran sardinella",0.97,1.15,1.68,1.4,full_ensemble,0.73
"Atlantic, Eastern Central Meagre",1.39,0.82,1.92,1.82,full_ensemble,1.3
"Atlantic, Eastern Central Northern bluefin tuna",0.49,0.62,1.33,1.58,full_ensemble,0.93
"Atlantic, Eastern Central Pouting",0.49,0.49,0.97,0.91,full_ensemble,1.04
"Atlantic, Eastern Central Round sardinella",1.18,0.94,1.55,1.53,full_ensemble,1
"Atlantic, Eastern Central Royal threadfin",0.97,0.64,1.09,1.48,full_ensemble,0.86
"Atlantic, Eastern Central Rubberlip grunt",1.22,0.92,1.07,1.46,full_ensemble,1.06
"Atlantic, Eastern Central Senegalese hake",0.39,0.38,0.86,1.77,full_ensemble,0.6
"Atlantic, Eastern Central Silver scabbardfish",0.24,0.82,0.41,0.1,full_ensemble,0.39
"Atlantic, Eastern Central Skipjack tuna",1.14,1.18,1.36,1.16,full_ensemble,1.05
"Atlantic, Eastern Central Sompat grunt",1.25,0.92,0.61,1.67,full_ensemble,1.13
"Atlantic, Eastern Central Southern pink shrimp",0.5,0.59,1.55,1.34,full_ensemble,0.69
"Atlantic, Eastern Central Swordfish",1.2,1.05,1.2,1.53,full_ensemble,1.23
"Atlantic, Eastern Central West African goatfish",0.46,0.69,1.38,1.41,full_ensemble,0.73
"Atlantic, Eastern Central West African ilisha",1.27,0.81,1.41,1.48,full_ensemble,1.44
"Atlantic, Eastern Central West African ladyfish",1.32,1.18,0.86,1.58,full_ensemble,1.34
"Atlantic, Eastern Central White grouper",1.47,1.28,0.93,1.62,full_ensemble,1.13
"Atlantic, Eastern Central Yellowfin tuna",1.24,0.94,0.18,1.14,full_ensemble,1.18
"Atlantic, Eastern Central Zebra seabream",1.22,0.97,1.75,1.48,full_ensemble,1.15
"Atlantic, Northeast Albacore",0.41,0.72,1.86,1.79,full_ensemble,0.78
